Membrane Thickness (¦Ìm),GDE(GDE for GDE CCM for CCM),Solvant Type,Stirring Method (Mechanical for Mechanical Stirring Ultrasound for Ultrasound),Stirring Temp (¡æ),Flow Rate (mL min-1),Water Content (wt%),Nafion EW (mol g-1),Anodic Platinum Loading Amount (mgPt cm-2),Cathodic Platinum Loading Amount (mgPt cm-2),Drying Temperature (¡æ),I/C,Cell Temperature (¡æ),Anode Flow Rate (sccm),Cathode Flow Rate (sccm),Backpressure (Mpa),Active Area (cm2),Solid Content (wt%),Pt Consumption per kW@0.65V (mgpt kW-1)
MT25,GDE,acetone,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.43,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.3~0.6,WC0~20,EW1100,AL0.1,CL0.2,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT15,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.67,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,acetone,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.33,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT15,GDE,IPA,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC0~20,EW1100,AL0.1,CL0.2,DT95,IC0.43,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4.5~,PC0~0.4
MT25,GDE,ethanol,Ultrasound,ST0,FR0.1~0.3,WC0~20,EW1100,AL0.1,CL0.2,DT95,IC0.43,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4.5~,PC0~0.4
MT8,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.05,CL0.1,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,Ethylene glycol,Mechanical,ST0,FR0.3~0.6,WC0~20,EW1100,AL0.1,CL0.2,DT95,IC0.43,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,butanol,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.67,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC0~4,PC0~0.4
MT25,GDE,butanol,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC0~4,PC0~0.4
MT25,GDE,water,Mechanical,ST0,FR0.3~0.6,WC40~,EW1100,AL0.1,CL0.2,DT120,IC0.43,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.05,CL0.15,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0~0.4
MT8,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.05,CL0.15,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.3,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,acetone,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.3,DT95,IC0.43,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC0~20,EW1100,AL0.1,CL0.2,DT95,IC0.33,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4.5~,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.05,CL0.15,DT95,IC0.67,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.05,CL0.2,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0~0.4
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC0~20,EW1100,AL0.1,CL0.2,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4.5~,PC0~0.4
MT25,GDE,IPA,Mechanical,ST0,FR0.6~,WC20~40,EW1100,AL0.05,CL0.1,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT15,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.25,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,butanol,Mechanical,ST0,FR0.3~0.6,WC0~20,EW1100,AL0.1,CL0.2,DT95,IC0.43,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC0~4,PC0.4~
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.15,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT8,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW750,AL0.1,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW750,AL0.05,CL0.1,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.43,CT90,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,butanol,Mechanical,ST0,FR0.3~0.6,WC0~20,EW1100,AL0.1,CL0.2,DT95,IC0.33,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC0~4,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0.4~
MT25,CCM,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.2,CL0.3,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.67,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT90,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT60,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,butanol,Mechanical,ST0,FR0.3~0.6,WC0~20,EW1100,AL0.1,CL0.2,DT95,IC0.25,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC0~4,PC0.4~
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT80,AFR300,CFR1500,BP0.1,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.54,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR300,CFR1500,BP0.1,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT60,AFR300,CFR1500,BP0.1,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT90,AFR300,CFR1500,BP0.1,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,Ethylene glycol,Mechanical,ST0,FR0.3~0.6,WC0~20,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetonitrile,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.3,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.2,CL0.2,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.1,CL0.3,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.33,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW750,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT8,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.3,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW750,AL0.2,CL0.4,DT95,IC0.33,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC0~4,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR300,CFR1500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT60,AFR300,CFR1500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT80,AFR300,CFR1500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC0~20,EW1100,AL0.2,CL0.3,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT80,AFR300,CFR1200,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,IPA,Ultrasound,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.3,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,acetonitrile,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,CCM,IPA,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT80,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,IPA,Mechanical,ST0,FR0.3~0.6,WC0~20,EW1100,AL0.3,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,CCM,IPA,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT75,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA25,SC0~4,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,CCM,IPA,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.3,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC0~4,PC0.4~
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,CCM,IPA,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT65,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.3,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA25,SC0~4,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,CCM,IPA,Mechanical,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT60,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,butanol,Mechanical,ST0,FR0.3~0.6,WC0~20,EW1100,AL0.1,CL0.4,DT95,IC0.46,CT70,AFR200,CFR500,BP0,AA6.25,SC0~4,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.1~0.3,WC20~40,EW750,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT15,GDE,IPA,Mechanical,ST0,FR0.1~0.3,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC4,CT80,AFR300,CFR1500,BP0.2,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC0~20,EW1100,AL0.2,CL0.45,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.6~,WC20~40,EW1100,AL0.3,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC0~4,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.3,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.54,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,IPA,Mechanical,ST25-30,FR0.6~,WC0~20,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC20~40,EW750,AL0.2,CL0.4,DT95,IC0.33,CT70,AFR200,CFR500,BP0,AA6.25,SC0~4,PC0.4~
MT25,GDE,IPA,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,methanol,Mechanical,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.44,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.1~0.3,WC0~20,EW1100,AL0.2,CL0.5,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,CCM,IPA,Mechanical,ST0,FR0.3~0.6,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT80,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,IPA,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.45,DT65,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.6~,WC20~40,EW1100,AL0.4,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA25,SC0~4,PC0.4~
MT25,GDE,methanol,Mechanical,ST0,FR0.6~,WC20~40,EW1100,AL0.4,CL0.2,DT95,IC0.44,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,IPA,Mechanical,ST25-30,FR0.6~,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,IPA,Mechanical,ST25-30,FR0.6~,WC0~20,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.5,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,butanol,Mechanical,ST0,FR0.6~,WC0~20,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC0~4,PC0.4~
MT25,GDE,IPA,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.55,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC0~20,EW1100,AL0.5,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,butanol,Mechanical,ST0,FR0.6~,WC0~20,EW1100,AL0.4,CL0.1,DT95,IC0.46,CT70,AFR200,CFR500,BP0,AA6.25,SC0~4,PC0.4~
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.4,DT35,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,butanol,Mechanical,ST25-30,FR0.6~,WC0~20,EW1100,AL0.2,CL0.4,DT95,IC0.46,CT70,AFR200,CFR500,BP0,AA6.25,SC0~4,PC0.4~
MT25,GDE,butanol,Mechanical,ST0,FR0.6~,WC0~20,EW1100,AL0.2,CL0.5,DT95,IC0.46,CT70,AFR200,CFR500,BP0,AA6.25,SC0~4,PC0.4~
MT25,GDE,acetone,Mechanical,ST0,FR0.3~0.6,WC0~20,EW1100,AL0.2,CL0.6,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.65,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,IPA,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.65,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,butanol,Mechanical,ST0,FR0.6~,WC0~20,EW1100,AL0.5,CL0.2,DT95,IC0.46,CT70,AFR200,CFR500,BP0,AA6.25,SC0~4,PC0.4~
MT25,GDE,IPA,Mechanical,ST25-30,FR0.6~,WC20~40,EW1100,AL0.4,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.1,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,butanol,Mechanical,ST25-30,FR0.6~,WC0~20,EW1100,AL0.4,CL0.2,DT95,IC0.46,CT70,AFR200,CFR500,BP0,AA6.25,SC0~4,PC0.4~
MT25,GDE,butanol,Mechanical,ST0,FR0.6~,WC0~20,EW1100,AL0.4,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC0~4,PC0.4~
MT25,GDE,butanol,Mechanical,ST0,FR0.6~,WC0~20,EW1100,AL0.2,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA25,SC0~4,PC0.4~
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.4,CL0.4,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4~4.5,PC0.4~
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.2,CL0.4,DT65,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
MT25,GDE,ethanol,Ultrasound,ST0,FR0.6~,WC20~40,EW1100,AL0.1,CL0.2,DT95,IC0.43,CT70,AFR200,CFR500,BP0,AA6.25,SC4.5~,PC0.4~
